from_bus,to_bus,Yff_r,Yff_i,Yft_r,Yft_i,Ytf_r,Ytf_i,Ytt_r,Ytt_i,rate_a
23.0,17.0,2.464629,-14.801336,-2.464629,14.805797,-2.464629,14.805797,2.464629,-14.801336,49.0
18.0,39.0,1.1031718,-4.558937,-1.1031718,4.576457,-1.1031718,4.576457,1.1031718,-4.558937,74.5
18.0,44.0,9.4213,-23.024656,-9.4213,23.027092,-9.4213,23.027092,9.4213,-23.024656,110.5
18.0,70.0,5.4769964,-34.850914,-5.4769964,34.853615,-5.4769964,34.853615,5.4769964,-34.850914,112.5
70.0,18.0,5.4769964,-34.850914,-5.4769964,34.853615,-5.4769964,34.853615,5.4769964,-34.850914,112.5
18.0,83.0,1.1320754,-6.0252357,-1.1320754,6.037736,-1.1320754,6.037736,1.1320754,-6.0252357,110.0
24.0,19.0,6.6357107,-27.517653,-6.6357107,27.520569,-6.6357107,27.520569,6.6357107,-27.517653,74.5
83.0,19.0,2.5585916,-15.349673,-2.5585916,15.353973,-2.5585916,15.353973,2.5585916,-15.349673,110.5
19.0,282.0,4.776092,-15.159198,-4.776092,15.162198,-4.776092,15.162198,4.776092,-15.159198,150.0
19.0,353.0,2.0273628,-14.116663,-2.0273628,14.122333,-2.0273628,14.122333,2.0273628,-14.116663,110.5
21.0,27.0,1.6345106,-10.545346,-1.6345106,10.554172,-1.6345106,10.554172,1.6345106,-10.545346,110.5
21.0,27.0,1.6345106,-10.545346,-1.6345106,10.554172,-1.6345106,10.554172,1.6345106,-10.545346,110.5
23.0,89.0,3.3886764,-15.100634,-3.3886764,15.105253,-3.3886764,15.105253,3.3886764,-15.100634,74.5
26.0,44.0,1.9828882,-8.664911,-1.9828882,8.673256,-1.9828882,8.673256,1.9828882,-8.664911,110.5
55.0,26.0,4.5925736,-11.222604,-4.5925736,11.227599,-4.5925736,11.227599,4.5925736,-11.222604,125.0
27.0,332.0,11.571292,-50.690563,-11.571292,50.691994,-11.571292,50.691994,11.571292,-50.690563,125.0
28.0,55.0,1.4476798,-8.260721,-1.4476798,8.269536,-1.4476798,8.269536,1.4476798,-8.260721,110.5
29.0,37.0,0.40177107,-2.2627857,-0.40177107,2.2945557,-0.40177107,2.2945557,0.40177107,-2.2627857,49.0
82.0,29.0,0.4550454,-2.5707974,-0.4550454,2.5988474,-0.4550454,2.5988474,0.4550454,-2.5707974,49.0
31.0,35.0,1.3794616,-8.275852,-1.3794616,8.283822,-1.3794616,8.283822,1.3794616,-8.275852,49.0
37.0,31.0,3.1858406,-7.780111,-3.1858406,7.7876105,-3.1858406,7.7876105,3.1858406,-7.780111,77.5
32.0,80.0,3.0927835,-31.929262,-3.0927835,31.958763,-3.0927835,31.958763,3.0927835,-31.929262,274.0
32.0,273.0,0.7437447,-7.145926,-0.7437447,7.276926,-0.7437447,7.276926,0.7437447,-7.145926,323.5
66.0,33.0,3.3982396,-20.390476,-3.3982396,20.393711,-3.3982396,20.393711,3.3982396,-20.390476,49.0
87.0,35.0,1.44064,-8.218485,-1.44064,8.2273445,-1.44064,8.2273445,1.44064,-8.218485,49.0
36.0,70.0,3.5023754,-22.60688,-3.5023754,22.611,-3.5023754,22.611,3.5023754,-22.60688,150.0
81.0,37.0,4.2993445,-19.156393,-4.2993445,19.160038,-4.2993445,19.160038,4.2993445,-19.156393,74.5
82.0,37.0,3.8461537,-19.22727,-3.8461537,19.23077,-3.8461537,19.23077,3.8461537,-19.22727,110.5
39.0,89.0,1.6028224,-7.132993,-1.6028224,7.1427684,-1.6028224,7.1427684,1.6028224,-7.132993,74.5
64.0,40.0,7.716597,-44.03892,-7.716597,44.040577,-7.716597,44.040577,7.716597,-44.03892,49.0
40.0,66.0,12.597232,-55.19572,-12.597232,55.197033,-12.597232,55.197033,12.597232,-55.19572,74.5
43.0,242.0,1.2424248,-5.5253177,-1.2424248,5.537923,-1.2424248,5.537923,1.2424248,-5.5253177,74.5
353.0,43.0,0.7389845,-5.1335244,-0.7389845,5.1490793,-0.7389845,5.1490793,0.7389845,-5.1335244,110.5
44.0,63.0,3.7096379,-25.821424,-3.7096379,25.824524,-3.7096379,25.824524,3.7096379,-25.821424,110.5
86.0,45.0,1.522556,-6.6492667,-1.522556,6.660132,-1.522556,6.660132,1.522556,-6.6492667,74.5
45.0,232.0,0.9713811,-4.0095963,-0.9713811,4.0294967,-0.9713811,4.0294967,0.9713811,-4.0095963,74.5
46.0,84.0,2.4716492,-15.959401,-2.4716492,15.965236,-2.4716492,15.965236,2.4716492,-15.959401,110.5
52.0,80.0,3.30033,-32.9733,-3.30033,33.0033,-3.30033,33.0033,3.30033,-32.9733,274.0
53.0,55.0,2.2551427,-9.858146,-2.2551427,9.86548,-2.2551427,9.86548,2.2551427,-9.858146,74.5
88.0,53.0,1.6408849,-3.997051,-1.6408849,4.011031,-1.6408849,4.011031,1.6408849,-3.997051,49.0
54.0,88.0,2.8773012,-7.025877,-2.8773012,7.033852,-2.8773012,7.033852,2.8773012,-7.025877,49.0
55.0,60.0,1.3123906,-7.4848533,-1.3123906,7.4945784,-1.3123906,7.4945784,1.3123906,-7.4848533,75.0
55.0,64.0,1.3103352,-7.4757442,-1.3103352,7.4854846,-1.3103352,7.4854846,1.3103352,-7.4757442,125.0
68.0,57.0,2.72845,-19.002758,-2.72845,19.006973,-2.72845,19.006973,2.72845,-19.002758,110.5
68.0,57.0,2.72845,-19.002758,-2.72845,19.006973,-2.72845,19.006973,2.72845,-19.002758,110.5
57.0,86.0,1.283995,-8.934115,-1.283995,8.94307,-1.283995,8.94307,1.283995,-8.934115,110.5
57.0,86.0,1.283995,-8.934115,-1.283995,8.94307,-1.283995,8.94307,1.283995,-8.934115,110.5
60.0,265.0,1.529052,-5.08284,-1.529052,5.09684,-1.529052,5.09684,1.529052,-5.08284,110.5
87.0,67.0,1.003749,-5.721396,-1.003749,5.7341113,-1.003749,5.7341113,1.003749,-5.721396,49.0
81.0,68.0,2.2448146,-9.993318,-2.2448146,10.000298,-2.2448146,10.000298,2.2448146,-9.993318,74.5
271.0,78.0,5.734704,-65.65966,-5.734704,66.16966,-5.734704,66.16966,5.734704,-65.65966,1150.0
271.0,78.0,5.734704,-65.65966,-5.734704,66.16966,-5.734704,66.16966,5.734704,-65.65966,1150.0
78.0,684.0,3.30033,-31.9783,-3.30033,33.0033,-3.30033,33.0033,3.30033,-31.9783,1150.0
80.0,281.0,1.1369585,-11.0342045,-1.1369585,11.119704,-1.1369585,11.119704,1.1369585,-11.0342045,274.0
83.0,353.0,2.3397472,-10.419968,-2.3397472,10.426662,-2.3397472,10.426662,2.3397472,-10.419968,110.5
84.0,85.0,1.4641396,-6.3934474,-1.4641396,6.404747,-1.4641396,6.404747,1.4641396,-6.3934474,74.5
89.0,84.0,1.0395304,-7.089839,-1.0395304,7.1015687,-1.0395304,7.1015687,1.0395304,-7.089839,110.5
119.0,90.0,1.2587007,-5.5074434,-1.2587007,5.5473433,-1.2587007,5.5473433,1.2587007,-5.5074434,93.5
90.0,138.0,2.2318308,-9.815671,-2.2318308,9.838171,-2.2318308,9.838171,2.2318308,-9.815671,93.5
188.0,90.0,8.828453,-38.925564,-8.828453,38.931248,-8.828453,38.931248,8.828453,-38.925564,93.5
112.0,91.0,5.8378496,-25.715508,-5.8378496,25.724113,-5.8378496,25.724113,5.8378496,-25.715508,93.5
117.0,91.0,5.4847646,-23.318754,-5.4847646,23.328915,-5.4847646,23.328915,5.4847646,-23.318754,93.5
111.0,92.0,6.9782467,-84.140144,-6.9782467,84.530304,-6.9782467,84.530304,6.9782467,-84.140144,1147.5
92.0,191.0,22.486418,-268.2634,-22.486418,268.38626,-22.486418,268.38626,22.486418,-268.2634,1010.0
128.0,93.0,8.028022,-47.003117,-8.028022,47.008278,-8.028022,47.008278,8.028022,-47.003117,125.5
93.0,137.0,13.039118,-99.295296,-13.039118,99.2979,-13.039118,99.2979,13.039118,-99.295296,155.0
97.0,204.0,3.1826367,-18.64915,-3.1826367,18.662151,-3.1826367,18.662151,3.1826367,-18.64915,125.5
97.0,212.0,6.0872827,-25.874168,-6.0872827,25.883324,-6.0872827,25.883324,6.0872827,-25.874168,93.5
104.0,98.0,2.1725972,-9.553477,-2.1725972,9.576592,-2.1725972,9.576592,2.1725972,-9.553477,93.5
98.0,142.0,2.609388,-11.479018,-2.609388,11.498268,-2.609388,11.498268,2.609388,-11.479018,93.5
99.0,139.0,2.3097324,-13.523458,-2.3097324,13.541372,-2.3097324,13.541372,2.3097324,-13.523458,125.5
99.0,172.0,7.1275487,-30.306086,-7.1275487,30.3139,-7.1275487,30.3139,7.1275487,-30.306086,93.5
199.0,99.0,7.2235036,-30.71958,-7.2235036,30.72729,-7.2235036,30.72729,7.2235036,-30.71958,125.0
151.0,100.0,2.0079324,-8.82339,-2.0079324,8.848405,-2.0079324,8.848405,2.0079324,-8.82339,93.5
100.0,169.0,2.3758307,-10.449345,-2.3758307,10.470485,-2.3758307,10.470485,2.3758307,-10.449345,93.5
100.0,181.0,2.1286237,-9.027179,-2.1286237,9.053354,-2.1286237,9.053354,2.1286237,-9.027179,93.5
217.0,101.0,6.2793875,-75.55808,-6.2793875,75.99222,-6.2793875,75.99222,6.2793875,-75.55808,1010.0
102.0,131.0,4.204911,-17.877048,-4.204911,17.890293,-4.204911,17.890293,4.204911,-17.877048,93.5
102.0,142.0,2.4377136,-10.724522,-2.4377136,10.745122,-2.4377136,10.745122,2.4377136,-10.724522,93.5
183.0,102.0,4.756372,-20.956308,-4.756372,20.966864,-4.756372,20.966864,4.756372,-20.956308,93.5
102.0,213.0,5.269311,-22.390615,-5.269311,22.40119,-5.269311,22.40119,5.269311,-22.390615,125.5
104.0,119.0,2.8169935,-11.963433,-2.8169935,11.983208,-2.8169935,11.983208,2.8169935,-11.963433,93.5
105.0,127.0,5.6802287,-25.025017,-5.6802287,25.033863,-5.6802287,25.033863,5.6802287,-25.025017,93.5
578.0,105.0,5.0912046,-22.437002,-5.0912046,22.446861,-5.0912046,22.446861,5.0912046,-22.437002,93.5
133.0,106.0,8.253714,-36.377064,-8.253714,36.38315,-8.253714,36.38315,8.253714,-36.377064,93.5
159.0,106.0,5.820147,-25.66238,-5.820147,25.671005,-5.820147,25.671005,5.820147,-25.66238,93.5
107.0,186.0,2.6697245,-31.355188,-2.6697245,32.374367,-2.6697245,32.374367,2.6697245,-31.355188,1010.0
107.0,217.0,7.5649266,-91.52488,-7.5649266,91.88411,-7.5649266,91.88411,7.5649266,-91.52488,1010.0
108.0,183.0,4.2109923,-18.544678,-4.2109923,18.556608,-4.2109923,18.556608,4.2109923,-18.544678,93.5
135.0,110.0,31.319319,-176.93652,-31.319319,176.938,-31.319319,176.938,31.319319,-176.93652,155.0
145.0,110.0,18.08703,-131.92682,-18.08703,131.92892,-18.08703,131.92892,18.08703,-131.92682,204.5
203.0,111.0,64.61618,-801.1996,-64.61618,801.2406,-64.61618,801.2406,64.61618,-801.1996,1010.0
112.0,130.0,2.3715441,-10.067666,-2.3715441,10.091151,-2.3715441,10.091151,2.3715441,-10.067666,93.5
154.0,112.0,5.4324017,-30.716711,-5.4324017,30.725197,-5.4324017,30.725197,5.4324017,-30.716711,125.5
115.0,145.0,21.195108,-93.624725,-21.195108,93.62709,-21.195108,93.62709,21.195108,-93.624725,93.5
157.0,115.0,15.384698,-67.94178,-15.384698,67.94504,-15.384698,67.94504,15.384698,-67.94178,93.5
148.0,116.0,2.1167903,-8.97624,-2.1167903,9.00256,-2.1167903,9.00256,2.1167903,-8.97624,93.5
218.0,116.0,4.0587835,-17.870485,-4.0587835,17.88286,-4.0587835,17.88286,4.0587835,-17.870485,93.5
117.0,180.0,2.8952827,-12.739347,-2.8952827,12.756698,-2.8952827,12.756698,2.8952827,-12.739347,93.5
118.0,135.0,7.782335,-45.638184,-7.782335,45.6435,-7.782335,45.6435,7.782335,-45.638184,125.5
118.0,199.0,4.775852,-21.029297,-4.775852,21.039818,-4.775852,21.039818,4.775852,-21.029297,125.0
202.0,118.0,7.6777716,-44.958466,-7.6777716,44.96386,-7.6777716,44.96386,7.6777716,-44.958466,155.0
120.0,196.0,4.1517134,-18.280067,-4.1517134,18.292168,-4.1517134,18.292168,4.1517134,-18.280067,93.5
212.0,120.0,3.8374286,-22.48269,-3.8374286,22.493475,-3.8374286,22.493475,3.8374286,-22.48269,125.5
121.0,138.0,2.0423825,-8.975345,-2.0423825,8.99994,-2.0423825,8.99994,2.0423825,-8.975345,93.5
121.0,177.0,2.406365,-10.211357,-2.406365,10.234511,-2.406365,10.234511,2.406365,-10.211357,93.5
122.0,204.0,4.464619,-19.662376,-4.464619,19.673628,-4.464619,19.673628,4.464619,-19.662376,93.5
212.0,122.0,3.4625275,-15.246083,-3.4625275,15.260589,-3.4625275,15.260589,3.4625275,-15.246083,93.5
219.0,123.0,9.399837,-41.37554,-9.399837,41.38089,-9.399837,41.38089,9.399837,-41.37554,93.5
123.0,852.0,5.6610065,-24.072388,-5.6610065,24.082228,-5.6610065,24.082228,5.6610065,-24.072388,93.5
124.0,133.0,11.9345045,-50.750954,-11.9345045,50.755627,-11.9345045,50.755627,11.9345045,-50.750954,93.5
136.0,124.0,11.166592,-47.54847,-11.166592,47.553455,-11.166592,47.553455,11.166592,-47.54847,93.5
125.0,156.0,2.0037801,-11.726524,-2.0037801,11.747179,-2.0037801,11.747179,2.0037801,-11.726524,125.5
125.0,181.0,1.6297851,-9.181764,-1.6297851,9.210079,-1.6297851,9.210079,1.6297851,-9.181764,125.5
126.0,145.0,24.186613,-103.014755,-24.186613,103.01706,-24.186613,103.01706,24.186613,-103.014755,150.0
126.0,172.0,22.228397,-94.46818,-22.228397,94.47069,-22.228397,94.47069,22.228397,-94.46818,125.0
127.0,155.0,6.807094,-39.91794,-6.807094,39.924015,-6.807094,39.924015,6.807094,-39.91794,125.5
200.0,127.0,9.2273855,-54.03733,-9.2273855,54.04182,-9.2273855,54.04182,9.2273855,-54.03733,125.5
171.0,128.0,4.4203634,-25.91791,-4.4203634,25.927265,-4.4203634,25.927265,4.4203634,-25.91791,125.5
129.0,176.0,5.791777,-25.523129,-5.791777,25.531797,-5.791777,25.531797,5.791777,-25.523129,93.5
849.0,129.0,4.9740734,-29.136772,-4.9740734,29.145096,-4.9740734,29.145096,4.9740734,-29.136772,125.5
129.0,1019.0,7.6344204,-44.710464,-7.6344204,44.71589,-7.6344204,44.71589,7.6344204,-44.710464,125.5
130.0,204.0,2.2431035,-9.51628,-2.2431035,9.541115,-2.2431035,9.541115,2.2431035,-9.51628,93.5
211.0,130.0,5.482281,-24.139854,-5.482281,24.14902,-5.482281,24.14902,5.482281,-24.139854,93.5
131.0,148.0,3.8497036,-16.363758,-3.8497036,16.378223,-3.8497036,16.378223,3.8497036,-16.363758,93.5
155.0,134.0,4.801215,-21.136513,-4.801215,21.146978,-4.801215,21.146978,4.801215,-21.136513,93.5
134.0,192.0,3.3457086,-14.722085,-3.3457086,14.737104,-3.3457086,14.737104,3.3457086,-14.722085,93.5
153.0,136.0,8.367198,-47.270306,-8.367198,47.27582,-8.367198,47.27582,8.367198,-47.270306,125.5
182.0,137.0,7.528153,-44.10227,-7.528153,44.10777,-7.528153,44.10777,7.528153,-44.10227,125.5
169.0,138.0,1.6635977,-7.300597,-1.6635977,7.3307924,-1.6635977,7.3307924,1.6635977,-7.300597,93.5
139.0,151.0,3.097453,-18.153616,-3.097453,18.16697,-3.097453,18.16697,3.097453,-18.153616,125.5
180.0,140.0,2.0602248,-9.05465,-2.0602248,9.079031,-2.0602248,9.079031,2.0602248,-9.05465,93.5
140.0,832.0,4.118372,-17.495207,-4.118372,17.508741,-4.118372,17.508741,4.118372,-17.495207,93.5
170.0,141.0,4.3960385,-24.826164,-4.3960385,24.836664,-4.3960385,24.836664,4.3960385,-24.826164,125.5
141.0,202.0,3.4771893,-19.639023,-3.4771893,19.652292,-3.4771893,19.652292,3.4771893,-19.639023,155.0
849.0,143.0,4.007104,-22.644243,-4.007104,22.655752,-4.007104,22.655752,4.007104,-22.644243,125.5
143.0,926.0,2.5306354,-14.814341,-2.5306354,14.830701,-2.5306354,14.830701,2.5306354,-14.814341,125.5
217.0,144.0,11.232131,-13.485806,-11.232131,14.635807,-11.232131,14.635807,11.232131,-13.485806,1010.0
144.0,800.0,8.427786,-101.96972,-8.427786,102.29225,-8.427786,102.29225,8.427786,-101.96972,1010.0
213.0,148.0,9.339338,-41.166134,-9.339338,41.17151,-9.339338,41.17151,9.339338,-41.166134,93.5
150.0,154.0,4.656325,-27.27043,-4.656325,27.279325,-4.656325,27.279325,4.656325,-27.27043,125.5
700.0,150.0,6.716372,-39.366776,-6.716372,39.372936,-6.716372,39.372936,6.716372,-39.366776,125.5
182.0,153.0,6.9170914,-40.532566,-6.9170914,40.53855,-6.9170914,40.53855,6.9170914,-40.532566,125.5
216.0,155.0,4.2615414,-24.080053,-4.2615414,24.090878,-4.2615414,24.090878,4.2615414,-24.080053,125.5
163.0,156.0,2.6022708,-15.236227,-2.6022708,15.252131,-2.6022708,15.252131,2.6022708,-15.236227,125.5
158.0,157.0,2.8426745,-16.647226,-2.8426745,16.661787,-2.8426745,16.661787,2.8426745,-16.647226,125.5
158.0,178.0,20.914377,-122.695694,-20.914377,122.69768,-20.914377,122.69768,20.914377,-122.695694,125.5
159.0,162.0,5.0712256,-29.736359,-5.0712256,29.744514,-5.0712256,29.744514,5.0712256,-29.736359,125.5
159.0,638.0,4.8050995,-21.15553,-4.8050995,21.16599,-4.8050995,21.16599,4.8050995,-21.15553,93.5
178.0,160.0,12.059935,-70.61133,-12.059935,70.61476,-12.059935,70.61476,12.059935,-70.61133,125.5
160.0,801.0,7.1926403,-30.612923,-7.1926403,30.620663,-7.1926403,30.620663,7.1926403,-30.612923,122.5
162.0,192.0,3.3652194,-19.718302,-3.3652194,19.730602,-3.3652194,19.730602,3.3652194,-19.718302,125.5
177.0,163.0,2.5661805,-11.290185,-2.5661805,11.309754,-2.5661805,11.309754,2.5661805,-11.290185,93.5
163.0,302.0,2.0530956,-12.016621,-2.0530956,12.036776,-2.0530956,12.036776,2.0530956,-12.016621,125.5
165.0,164.0,0.15139602,-3.4053068,-0.15139602,3.4053068,-0.15139602,3.4053068,0.15139602,-3.4053068,9.5
338.0,164.0,5.712287,-32.645683,-5.712287,32.64792,-5.712287,32.64792,5.712287,-32.645683,110.5
167.0,200.0,12.969953,-76.03167,-12.969953,76.03486,-12.969953,76.03486,12.969953,-76.03167,155.0
167.0,223.0,9.2273855,-54.03733,-9.2273855,54.04182,-9.2273855,54.04182,9.2273855,-54.03733,125.5
176.0,170.0,3.6604323,-16.116251,-3.6604323,16.129976,-3.6604323,16.129976,3.6604323,-16.116251,93.5
223.0,170.0,2.2887518,-13.395922,-2.2887518,13.414012,-2.2887518,13.414012,2.2887518,-13.395922,125.5
171.0,219.0,4.1633754,-17.703327,-4.1633754,17.716702,-4.1633754,17.716702,4.1633754,-17.703327,93.5
180.0,211.0,2.9701052,-12.6164055,-2.9701052,12.63516,-2.9701052,12.63516,2.9701052,-12.6164055,93.5
186.0,958.0,3.30033,-32.0033,-3.30033,33.0033,-3.30033,33.0033,3.30033,-32.0033,1150.0
187.0,319.0,1.6774628,-17.350702,-1.6774628,17.447456,-1.6774628,17.447456,1.6774628,-17.350702,375.0
191.0,647.0,11.27413,-137.5343,-11.27413,137.77368,-11.27413,137.77368,11.27413,-137.5343,1010.0
192.0,197.0,11.803365,-86.17647,-11.803365,86.179695,-11.803365,86.179695,11.803365,-86.17647,155.0
214.0,196.0,5.8348045,-34.18366,-5.8348045,34.190754,-5.8348045,34.190754,5.8348045,-34.18366,125.5
196.0,219.0,12.359408,-52.552124,-12.359408,52.556633,-12.359408,52.556633,12.359408,-52.552124,93.5
197.0,215.0,2.5916252,-15.184279,-2.5916252,15.200239,-2.5916252,15.200239,2.5916252,-15.184279,125.5
220.0,198.0,5.536187,-23.552422,-5.536187,23.562483,-5.536187,23.562483,5.536187,-23.552422,93.5
1036.0,198.0,3.0220895,-13.307459,-3.0220895,13.324074,-3.0220895,13.324074,3.0220895,-13.307459,93.5
201.0,751.0,3.71471,-16.35204,-3.71471,16.365564,-3.71471,16.365564,3.71471,-16.35204,93.5
201.0,1036.0,2.230633,-9.80608,-2.230633,9.8286,-2.230633,9.8286,2.230633,-9.80608,93.5
613.0,203.0,4.4749227,-91.399025,-4.4749227,91.77813,-4.4749227,91.77813,4.4749227,-91.399025,1384.0
203.0,1965.0,4.0317874,-82.8596,-4.0317874,83.27726,-4.0317874,83.27726,4.0317874,-82.8596,1384.0
1014.0,214.0,5.8499637,-33.05173,-5.8499637,33.05962,-5.8499637,33.05962,5.8499637,-33.05173,125.5
215.0,642.0,4.9921913,-21.989168,-4.9921913,21.999228,-4.9921913,21.999228,4.9921913,-21.989168,93.5
215.0,779.0,8.2922325,-48.605488,-8.2922325,48.61048,-8.2922325,48.61048,8.2922325,-48.605488,125.5
216.0,784.0,7.451746,-43.645985,-7.451746,43.651543,-7.451746,43.651543,7.451746,-43.645985,125.5
217.0,728.0,0.990099,-8.4009905,-0.990099,9.9009905,-0.990099,9.9009905,0.990099,-8.4009905,1384.0
219.0,705.0,6.328391,-37.126648,-6.328391,37.133183,-6.328391,37.133183,6.328391,-37.126648,125.5
222.0,221.0,0.091451205,-3.959539,-0.091451205,3.959539,-0.091451205,3.959539,0.091451205,-3.959539,12.0
244.0,221.0,2.3176506,-10.130824,-2.3176506,10.137964,-2.3176506,10.137964,2.3176506,-10.130824,74.5
224.0,1226.0,1.5886033,-15.45489,-1.5886033,15.51625,-1.5886033,15.51625,1.5886033,-15.45489,274.0
1334.0,224.0,3.0061142,-21.43869,-3.0061142,21.480309,-3.0061142,21.480309,3.0061142,-21.43869,221.5
225.0,330.0,2.3187718,-13.236615,-2.3187718,13.242121,-2.3187718,13.242121,2.3187718,-13.236615,49.0
226.0,326.0,5.1318855,-21.276066,-5.1318855,21.279837,-5.1318855,21.279837,5.1318855,-21.276066,74.5
364.0,226.0,20.020521,-87.58895,-20.020521,87.58978,-20.020521,87.58978,20.020521,-87.58895,74.5
228.0,275.0,1.9675008,-4.7979965,-1.9675008,4.809656,-1.9675008,4.809656,1.9675008,-4.7979965,49.0
349.0,228.0,1.2207916,-7.322373,-1.2207916,7.331378,-1.2207916,7.331378,1.2207916,-7.322373,49.0
229.0,272.0,2.6873477,-11.969739,-2.6873477,11.975569,-2.6873477,11.975569,2.6873477,-11.969739,74.5
368.0,229.0,3.1913416,-13.232172,-3.1913416,13.238227,-3.1913416,13.238227,3.1913416,-13.232172,74.5
230.0,236.0,1.7616197,-7.6955094,-1.7616197,7.7049,-1.7616197,7.7049,1.7616197,-7.6955094,74.5
230.0,360.0,5.515608,-24.57938,-5.515608,24.58222,-5.515608,24.58222,5.515608,-24.57938,74.5
230.0,368.0,1.8939832,-10.808616,-1.8939832,10.815355,-1.8939832,10.815355,1.8939832,-10.808616,49.0
231.0,259.0,1.5360541,-6.359784,-1.5360541,6.3723693,-1.5360541,6.3723693,1.5360541,-6.359784,74.5
363.0,231.0,1.7243975,-7.6756496,-1.7243975,7.6847343,-1.7243975,7.6847343,1.7243975,-7.6756496,125.0
366.0,231.0,3.2657168,-7.9768305,-3.2657168,7.9838552,-3.2657168,7.9838552,3.2657168,-7.9768305,49.0
232.0,247.0,0.9464848,-5.6729393,-0.9464848,5.6845546,-0.9464848,5.6845546,0.9464848,-5.6729393,49.0
369.0,232.0,1.5514104,-6.4242053,-1.5514104,6.4366655,-1.5514104,6.4366655,1.5514104,-6.4242053,74.5
233.0,299.0,0.99772435,-5.9808607,-0.99772435,5.991881,-0.99772435,5.991881,0.99772435,-5.9808607,49.0
316.0,233.0,1.1608329,-6.9605203,-1.1608329,6.9699903,-1.1608329,6.9699903,1.1608329,-6.9605203,49.0
